Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"Preußen Balingen",Deutschland,183,118,400053144
"TuS Darmstadt",Deutschland,277,155,398698778
"VfL Saar 1925",Deutschland,262,153,398599787
"Sportive Tétouan",Marokko,139,131,398326300
Kayserikulübü,Türkei,267,123,398266835
"Telford Midland",England,196,122,397372946
"FV Molde",Norwegen,277,98,397098477
"OS St.-Étienne",Frankreich,306,120,396784831
"AC Parma",Italien,273,144,395977804
"FAK Voronezh",Russland,308,108,395468713
"SBK Kaliningrad",Russland,290,140,395166007
"Justicia Bogotá",Kolumbien,105,97,394417099
"Torquay Kickers",England,275,108,392641895
"FC Narva Buse",Estland,247,115,392372059
"VfL Hof",Deutschland,249,99,392280886
"Zescolo Ndola",Sambia,209,133,391549378
"Brentford Bees",England,219,117,391359392
"Hòathuận Đà Nẵng",Vietnam,169,87,391110851
"Rwang Jos",Nigeria,191,140,390728995
"SC Dachau",Deutschland,183,105,390065248
"VC Unión Llevante",Spanien,310,135,388112867
"Maghrébine Béjaïa",Algerien,218,106,387679234
"Union Unterhaching",Deutschland,275,108,387604004
"SC Vancouver 1889",Kanada,345,168,386687550
"Kesımboşaspar FK",Türkei,288,143,386579308
"SpVgg M´gladbach",Deutschland,375,173,385902415
"RSV Lingen",Deutschland,301,108,385419386
"Könizer SK",Schweiz,248,112,384419587
"Sheffield Oils",England,229,134,383661359
"SpVgg Lotte",Deutschland,215,103,383503390
"United Bitam",Gabun,186,146,382010279
"More Zvornik","Bosnien und Herzegowina",122,103,381378845
"NN Tromsø",Norwegen,241,134,379967277
"FN Rotterdam",Niederlande,327,181,379227373
"Orlando Beach FC","Vereinigte Staaten",176,101,379019166
"Viktoria Erndtebrück",Deutschland,153,88,378064808
"SV Basel",Schweiz,268,134,377108196
"AS Metz",Frankreich,306,163,376403784
"Hansa Barmbek",Deutschland,209,120,376396052
"Cardiff Dragons",England,201,100,376134197
"BFC East End",Montserrat,129,121,376111913
"Inter Wexford",Irland,267,142,376052938
"SG Kapellen 1931",Deutschland,202,105,373942463
"CS Leão Recife",Brasilien,218,122,373821786
"Stadt Reims",Frankreich,177,117,373685252
"FKPG Saalfelden",Österreich,274,152,373334398
"FK Veľký Meder",Slowakei,148,140,373076786
"Red Wings Salzburg",Österreich,314,145,372657636
"ESS Falkirk",Schottland,226,150,372123178
